"","total_vaccinated","people_vaccinated","people_fully_vaccinated","maTotal","maPeople_vaccinated","maPeople_fully_vaccinated","date"
"232",58468,39739,18729,37040.7142857143,26431.8571428571,10608.8571428571,2021-12-02
"233",33132,24516,8616,33965.7142857143,24129,9836.71428571429,2021-12-03
"234",0,0,0,32444.7142857143,24008.8571428571,8435.85714285714,2021-12-04
"235",46301,35856,10445,34882.7142857143,26226.5714285714,8656.14285714286,2021-12-05
"236",9065,7343,1722,33547.7142857143,25936.2857142857,7611.42857142857,2021-12-06
"237",37373,30038,7335,28814.5714285714,22434,6380.57142857143,2021-12-07
"238",59840,46094,13746,37497.2857142857,28748.2857142857,8749,2021-12-08
"239",49123,37707,11416,33694.5714285714,25664.4285714286,8030.14285714286,2021-12-09
"240",0,0,0,35257.8571428571,26769.2857142857,8488.57142857143,2021-12-10
"241",60779,44200,16579,33887,25156.2857142857,8730.71428571429,2021-12-11
"242",19682,14269,5413,30405.1428571429,22129.7142857143,8275.42857142857,2021-12-12
"243",20008,15077,4931,23387.5714285714,16743,6644.57142857143,2021-12-13
"244",27777,18747,9030,23387.5714285714,16743,6644.57142857143,2021-12-14
"245",35467,24908,10559,32588,23298.1428571429,9289.85714285714,2021-12-15
"246",0,0,0,32526.8571428571,22738.2857142857,9788.57142857143,2021-12-16
"247",0,0,0,31682.4285714286,21733.2857142857,9949.14285714286,2021-12-17
"248",125182,90086,35096,32332.4285714286,21516,10816.4285714286,2021-12-18
"249",19254,10350,8904,27265.7142857143,17957.7142857143,9308,2021-12-19
"250",14097,8042,6055,27265.7142857143,17957.7142857143,9308,2021-12-20
"251",32327,17226,15101,27265.7142857143,17957.7142857143,9308,2021-12-21
"252",0,0,0,37389.4285714286,17209.5714285714,20179.8571428571,2021-12-22
"253",0,0,0,36124.1428571429,16253.7142857143,19870.4285714286,2021-12-23
"254",0,0,0,36259.1428571429,15742.2857142857,20516.8571428571,2021-12-24
"255",196048,84849,111199,31641,13281.4285714286,18359.5714285714,2021-12-25
"256",10397,3659,6738,31641,13281.4285714286,18359.5714285714,2021-12-26
"257",15042,4462,10580,31641,13281.4285714286,18359.5714285714,2021-12-27
"258",0,0,0,57213.7142857143,22869,34344.7142857143,2021-12-28
"259",0,0,0,29206.8571428571,10747.7142857143,18459.1428571429,2021-12-29
"260",0,0,0,27721.5714285714,10225,17496.5714285714,2021-12-30
"261",179009,67113,111896,30691.1428571429,11453.5714285714,19237.5714285714,2021-12-31
"262",0,0,0,31185.8571428571,11546.4285714286,19639.4285714286,2022-01-01
"263",0,0,0,33904.5714285714,12041.5714285714,21863,2022-01-02
"264",35829,13062,22767,33904.5714285714,12041.5714285714,21863,2022-01-03
"265",3463,650,2813,9544.42857142857,2564.28571428571,6980.14285714286,2022-01-04
"266",19031,3466,15565,9544.42857142857,2564.28571428571,6980.14285714286,2022-01-05
"267",0,0,0,9544.42857142857,2564.28571428571,6980.14285714286,2022-01-06
"268",8488,772,7716,4426,698.285714285714,3727.71428571429,2022-01-07
"269",0,0,0,15431.7142857143,4270.71428571429,11161,2022-01-08
"270",0,0,0,17218.1428571429,5061,12157.1428571429,2022-01-09
"271",0,0,0,21357.7142857143,6299,15058.7142857143,2022-01-10
"272",80503,25657,54846,24047.2857142857,6926.42857142857,17120.8571428571,2022-01-11
"273",31536,8998,22538,28748.8571428571,7848.14285714286,20900.7142857143,2022-01-12
"274",28977,8666,20311,28748.8571428571,7848.14285714286,20900.7142857143,2022-01-13
"275",27315,5164,22151,29356.4285714286,7997.85714285714,21358.5714285714,2022-01-14
"276",32911,6452,26459,21034.8571428571,4729,16305.8571428571,2022-01-15
"277",0,0,0,21119.8571428571,3918.14285714286,17201.7142857143,2022-01-16
"278",4253,1048,3205,21935.1428571429,3880.42857142857,18054.7142857143,2022-01-17
"279",22252,2775,19477,23473.2857142857,4604.42857142857,18868.8571428571,2022-01-18
"280",32131,3322,28809,18771.7142857143,3682.71428571429,15089,2022-01-19
"281",34684,8402,26282,18771.7142857143,3682.71428571429,15089,2022-01-20
"282",38082,10232,27850,25391.7142857143,5558.57142857143,19833.1428571429,2022-01-21
"283",0,0,0,24854.8571428571,5985.42857142857,18869.4285714286,2022-01-22
"284",0,0,0,24578,6428.57142857143,18149.4285714286,2022-01-23
"285",50593,14179,36414,25155.5714285714,6449,18706.5714285714,2022-01-24
"286",18494,5763,12731,24596.8571428571,6912.28571428571,17684.5714285714,2022-01-25
"287",30193,6424,23769,24596.8571428571,6912.28571428571,17684.5714285714,2022-01-26
"288",38727,8545,30182,24596.8571428571,6912.28571428571,17684.5714285714,2022-01-27
"289",34171,13475,20696,22896.8571428571,6275.14285714286,16621.7142857143,2022-01-28
"290",0,0,0,26573.5714285714,7338.85714285714,19234.7142857143,2022-01-29
"291",0,0,0,22260.2857142857,6421.14285714286,15839.1428571429,2022-01-30
"292",38693,9719,28974,16727.8571428571,5200.42857142857,11527.4285714286,2022-01-31
"293",44231,13209,31022,16223.8571428571,4700.71428571429,11523.1428571429,2022-02-01
"294",0,0,0,24601.4285714286,7256.42857142857,17345,2022-02-02
"295",0,0,0,26296,7998.71428571429,18297.2857142857,2022-02-03
"296",30643,9977,20666,22258.2857142857,7132.85714285714,15125.4285714286,2022-02-04
"297",58643,17890,40753,18037.2857142857,6075.71428571429,11961.5714285714,2022-02-05
